№;ЗВО;Оцінка якості науково-педагогічного потенціалу Iнп;Оцінка якості навчання IН;Оцінка міжнародного визнання IМВ;Оцінка інтегрального показника діяльності ЗВО. IЗ
98;Кам'янець-Подільський національний університет імені Івана Огієнка;7.67;5.82;2.68;16.17
99;Львівська національна музична академія імені М.В.Лисенка;9.21;5.68;1.25;16.14
100;Миколаївський національний університет імені В.О. Сухомлинського;8.47;5.15;2.45;16.07
101;Черкаський національний університет імені Богдана Хмельницького;8.24;5.02;2.77;16.03
102;Сумський національний аграрний університет;8.50;5.88;1.61;15.99
103;Університет імені Альфреда Нобеля;7.09;4.72;4.01;15.82
104;Національний університет Одеська морська академія;8.38;4.59;2.78;15.75
105;Одеська національна музична академія імені А.В. Нежданової;8.84;5.65;1.23;15.72
106;Маріупольський державний університет;7.84;5.25;2.56;15.65
107;Харківський державний університет харчування та торгівлі;9.15;5.78;0.68;15.61
108;Вінницький державний педагогічний університет імені Михайла Коцюбинського;7.11;6.94;1.53;15.58
109;Полтавський університет економіки і торгівлі;7.05;5.79;2.62;15.46
110;Уманський державний педагогічний університет імені Павла Тичини;7.43;6.17;1.84;15.44
111;Луганський національний університет імені Тараса Шевченка;8.46;4.31;2.48;15.25
112;Київський національний лінгвістичний університет;7.94;5.78;1.48;15.20
113;Харківський національний педагогічний університет імені Г.С. Сковороди;8.49;5.17;1.47;15.13
114;Полтавська державна аграрна академія;8.00;5.73;1.37;15.10
115;Тернопільський національний педагогічний університет імені Володимира Гнатюка;8.77;4.79;1.43;15.00
116;Національний університет державної фіскальної служби України;7.56;5.43;2.00;14.98
117;Харківський національний аграрний університет ім. В.В. Докучаєва;8.42;5.05;1.45;14.92
118;Львівський торговельно-економічний університет;8.79;4.79;1.29;14.87
119;Дніпровський державний аграрно-економічний університет;8.62;4.74;1.44;14.80
120;Житомирський державний університет імені Івана Франка;7.55;5.77;1.45;14.77
121;Львівський державний університет безпеки життєдіяльності;6.84;5.76;2.15;14.75
122;Вінницький національний аграрний університет;7.99;4.83;1.83;14.65
123;Дрогобицький державний педагогічний університет імені Івана Франка;7.27;5.80;1.56;14.63
124;Білоцерківський національний аграрний університет;8.54;4.77;1.21;14.52
125;Уманський національний університет садівництва;7.90;4.64;1.94;14.48
126;Донецький національний університет економіки і торгівлі імені Михайла Туган-Барановського;7.72;4.43;2.29;14.44
127;Херсонський державний аграрний університет;8.68;4.40;1.32;14.40
128;Київський національний університет культури і мистецтв;9.26;4.36;0.70;14.32
129;Харківський національний університет внутрішніх справ;8.48;4.15;1.64;14.27
130;Черкаський державний технологічний університет;8.06;4.75;1.43;14.24
131;Київський медичний університет УАНМ;7.81;4.33;2.03;14.17
132;Національна академія статистики. обліку та аудиту;7.92;4.76;1.42;14.10
133;Національна академія образотворчого мистецтва і архітектури;7.67;4.85;1.56;14.08
134;Подільський державний аграрно-технічний університет;8.06;4.83;1.16;14.05
135;Львівський державний університет фізичної культури імені Івана Боберського;7.35;5.19;1.48;14.02
136;Житомирський національний агроекологічний університет;6.99;5.77;1.23;13.99
137;Переяслав-Хмельницький державний педагогічний університет імені Григорія Сковороди;7.24;5.21;1.48;13.93
138;Харківський національний університет мистецтв імені І.П. Котляревського;7.60;4.71;1.56;13.87
139;Університет митної справи та фінансів;6.84;4.64;2.36;13.84
140;Мелітопольський державний педагогічний університет імені Богдана Хмельницького;6.74;4.89;2.20;13.83
141;Луганський державний медичний університет;7.83;4.50;1.46;13.79
142;Університет економіки та права КРОК;7.58;4.72;1.48;13.78
143;Київський міжнародний університет;8.02;4.25;1.45;13.72
144;Академія адвокатури України;8.48;4.22;1.01;13.71
145;Бердянський державний педагогічний університет;7.65;4.70;1.35;13.70
146;Таврійський національний університет ім. В.І. Вернадського;7.91;4.26;1.49;13.66
147;Державний університет телекомунікацій;7.57;4.64;1.44;13.65
148;Сумський державний педагогічний університет імені А.С. Макаренка;6.23;5.79;1.62;13.64
149;Центральноукраїнський державний педагогічний університет імені Володимира Винниченка;7.39;4.79;1.35;13.53
150;Харківська державна зооветеринарна академія;7.76;4.10;1.61;13.47
