№;НЗ;Оцінка якості науково-педагогічного потенціалу Iнп;Оцінка якості навчання IН;Оцінка міжнародного визнання IМВ;Оцінка інтегрального показника діяльності ВНЗ. IЗ
51;Дніпропетровська медична академія;13.4625;5.2502;7.0634;25.7761
52;Львівський національний медичний університет імені Данила Галицького;11.2542;5.9672;8.4880;25.7094
53;Івано-франківський національний медичний університет;12.7630;6.4600;6.3501;25.5731
54;Українська медична стоматологічна академія;8.6196;5.7883;11.0798;25.4878
55;Харківський національний технічний університет сільського господарства імені Петра Василенка;11.7373;7.3429;6.1132;25.1933
56;Кременчуцький національний університет імені Михайла Остроградського;7.0200;5.8590;12.1773;25.0562
57;Кіровоградський національний технічний університет;11.0401;8.6484;5.0837;24.7722
58;Буковинський державний медичний університет;9.2873;5.1047;10.3450;24.7370
59;Університет економіки та права КРОК;7.0730;10.8603;6.7265;24.6598
60;Львівський торговельно-економічний університет;9.1530;7.1273;8.3330;24.6133
61;Донецький національний університет економіки і торгівлі імені Михайла Туган-Барановського;7.2036;6.1437;11.2117;24.5589
62;Київський міжнародний університет;5.1865;10.9599;8.3103;24.4567
63;Українська інженерно-педагогічна академія;9.5286;7.5442;7.3340;24.4068
64;Харківський національний автомобільно-дорожній університет;10.0299;5.4565;8.8877;24.3740
65;Донецький національний медичний університет ім. М. Горького;13.0696;4.1943;7.0576;24.3214
66;Національний транспортний університет;5.6651;7.0296;11.5429;24.2376
67;Національний університет водного господарства та природокористування;9.4263;7.1755;7.0020;23.6038
68;Національна академія керівних кадрів культури і мистецтв;7.8501;9.5882;6.0812;23.5195
69;Одеський національний морський університет;8.0007;5.8169;9.6519;23.4696
70;Таврійський державний агротехнологічний університет;9.9157;6.1483;7.3712;23.4352
71;Донбаська державна машинобудівна академія;10.1646;4.4633;8.7086;23.3365
72;Запорізький державний медичний університет;9.2006;5.0323;9.0207;23.2536
73;Національна академія управління;7.4078;10.7980;4.9035;23.1092
74;Миколаївський національний університет імені В.О. Сухомлинського;8.0190;7.0027;8.0047;23.0264
75;Луцький національний технічний університет;5.8508;5.0277;12.0556;22.9342
76;Східноєвропейський національний університет імені Лесі Українки;6.9327;7.6907;8.3103;22.9337
77;Дніпропетровський національний університет залізничного транспорту імені академіка В. Лазаряна;6.0588;5.4172;11.2610;22.7370
78;Миколаївський національний аграрний університет;8.8502;9.2875;4.3175;22.4553
79;Придніпровська державна академія будівництва та архітектури;9.0928;5.3428;7.9902;22.4258
80;Одеська національна академія зв'язку ім. О.С. Попова;8.5526;7.2114;6.6066;22.3705
81;Запорізький національний університет;6.3130;8.1762;7.8643;22.3535
82;Херсонський національний технічний університет;8.3310;8.3799;5.6069;22.3178
83;Національна музична академія України імені П.І. Чайковського;7.9593;8.2119;6.1100;22.2811
84;Національний університет фізичного виховання і спорту України (НУФВСУ);8.4021;9.6829;4.1201;22.2051
85;Львівська національна музична академія імені М.В. Лисенка;7.3778;10.0648;4.7615;22.2041
86;Приазовський державний технічний університет;7.6299;5.5230;9.0381;22.1910
87;Київський університет імені Бориса Грінченка;6.1310;5.9078;10.1447;22.1834
88;Національний університет Одеська  морська академія;6.4082;5.1356;10.6109;22.1547
89;Харківський національний університет будівництва та архітектури;8.5421;5.3661;8.1241;22.0323
90;Тернопільський державний медичний університет імені І.Я. Горбачевського;11.4219;5.3448;5.1617;21.9284
91;Одеський державний екологічний університет;6.9617;5.7796;9.1233;21.8645
92;Херсонський державний університет;6.4694;8.0216;7.3431;21.8341
93;Український державний університет залізничного транспорту;8.7771;6.2043;6.7735;21.7549
94;Донецький державний університет управління;3.7931;8.5724;9.3408;21.7062
95;Маріупольський державний університет;7.0199;6.6459;8.0030;21.6688
96;Харківський національний педагогічний університет імені Г.С. Сковороди;6.5756;8.7744;6.2860;21.6360
97;Полтавський національний технічний університет імені Юрія Кондратюка;7.0153;8.4663;6.1034;21.5850
98;Кам'янець-Подільський національний університет;6.2560;6.3582;8.9104;21.5245
99;Національний університет Острозька академія;6.0370;8.3185;7.1148;21.4702
100;Криворізький національний університет;8.0303;6.0697;7.3472;21.4472
101;Тернопільський національний педагогічний університет імені Володимира Гнатюка;7.7000;6.0200;7.6500;21.3800
102;Одеська національна музична академія ім. А.В. Нежданової;7.7100;7.6900;5.9100;21.3000
103;Херсонський державний аграрний університет;7.9500;7.2700;6.0000;21.2200
104;Одеська державна академія будівництва та архітектури;7.1900;5.4900;8.4900;21.1700
105;Дніпропетровський державний аграрно-економічний університет;7.5500;7.5000;6.0500;21.1000
106;Білоцерківський національний аграрний університет;6.9000;7.0300;7.0900;21.0300
107;Дніпропетровський університет імені Альфреда Нобеля;5.9300;6.1400;8.8400;20.9100
108;Харківський національний університет міського господарства імені О.М. Бекетова;6.2000;5.7700;8.8900;20.8500
109;Київський національний університет культури і мистецтв;9.0300;7.7600;4.0300;20.8300
110;Київський національний лінгвістичний університет;6.0600;7.3300;7.3900;20.7800
111;Український державний хіміко-технологічний університет;9.4400;6.2500;4.9800;20.6700
112;Харківський національний аграрний університет ім. В.В. Докучаєва;7.6600;6.0200;6.6000;20.2700
113;Національна академія образотворчого мистецтва і архітектури;7.1000;7.8500;5.2500;20.2000
114;Харківський державний університет харчування та торгівлі;8.4200;6.0100;5.7300;20.1600
115;Класичний приватний університет;6.9700;7.9300;5.2000;20.1100
116;Полтавська державна аграрна академія;7.1700;7.0500;5.8300;20.0500
117;Черкаський національний університет імені Богдана Хмельницького;7.2700;6.7300;5.8500;19.8600
118;Академія адвокатури України;7.9800;6.6900;5.1300;19.8000
119;Подільський державний аграрно-технічний університет;7.9000;6.0100;5.6700;19.5800
120;Житомирський державний технологічний університет;6.1200;5.8100;7.5200;19.4600
121;Чернігівський національний технологічний університет;5.9900;5.9400;7.3700;19.3000
122;Кіровоградський державний педагогічний університет імені Володимира Винниченка;5.9800;6.0600;7.1600;19.2100
123;Переяслав-Хмельницький державний педагогічний університет імені Григорія Сковороди;5.9500;7.1200;6.1400;19.2000
124;Київський національний університет театру. кіно і телебачення імені І.К. Карпенка-Карого;7.1400;7.1000;4.9100;19.1500
125;Житомирський державний університет імені Івана Франка;7.0300;7.0400;5.0400;19.1100
126;Університет державної фіскальної служби України;6.0200;7.6600;5.3700;19.0600
127;Запорізька державна інженерна академія;7.4300;6.2000;5.3800;19.0000
128;Донбаський державний технічний університет;7.4200;4.4500;7.0300;18.9100
129;Вінницький національний аграрний університет;6.3300;6.3000;6.1800;18.8100
130;Національний університет кораблебудування імені адмірала Макарова;8.6900;5.7800;4.2700;18.7300
131;Харківський національний університет мистецтв ім. І.П. Котляревського;6.0700;6.2000;6.2700;18.5500
132;Харківська державна зооветеринарна академія;6.0000;6.0900;6.3700;18.4600
133;Національна академія статистики. обліку та аудиту;6.9400;7.0100;4.5000;18.4500
134;Черкаський державний технологічний університет;5.1100;5.8700;7.3400;18.3300
135;Уманський державний педагогічний університет імені Павла Тичини;6.8600;6.7900;4.6400;18.2900
136;Уманський національний університет садівництва;6.0100;5.0800;7.1300;18.2200
137;Львівський державний університет фізичної культури;7.1300;6.4300;4.5600;18.1200
138;Полтавський університет економіки і торгівлі;6.0300;4.4800;7.5000;18.0200
139;Університет митної справи та фінансів;6.1800;6.0900;5.7100;17.9800
140;Сумський національний аграрний університет;6.9700;6.7900;4.0200;17.7800
141;Академія муніципального управління;5.9700;7.1200;4.5400;17.6300
142;Львівський національний аграрний університет;5.1700;5.0600;7.3100;17.5300
143;Харківська державна академія культури;6.8800;5.3700;5.2000;17.4500
144;Харківська державна академія фізичної культури;6.1300;6.0800;5.0100;17.2200
145;Луганський державний медичний університет;6.5300;4.5600;6.1100;17.2000
146;Державний університет телекомунікацій;6.0300;5.6900;5.4300;17.1500
147;Міжнародний економіко-гуманітарний університет;7.2800;5.2500;4.6100;17.1300
148;Житомирський національний агроекологічний університет;6.3600;6.9300;3.8300;17.1100
149;Бердянський державний педагогічний університет;6.0200;5.0600;6.0200;17.1000
150;Українська академія банківської справи Національного банку України;4.4300;7.4400;5.1900;17.0600
151;Національний університет цивільного захисту України;6.6500;5.2500;5.1100;17.0100
152;Міжнародний університет фінансів;6.8600;5.8000;4.2900;16.9500
153;Луганський національний аграрний університет;6.0900;5.8700;4.9000;16.8600
154;Українська академія друкарства;6.5800;5.9800;4.2100;16.7700
155;Київський медичний університет УАНМ;7.6500;4.1300;4.8800;16.6600
156;Львівський державний університет безпеки життєдіяльності;6.4900;4.8500;5.1600;16.5000
157;Хмельницький університет управління та права;5.1700;5.6300;5.6300;16.4300
158;Чернігівський національний педагогічний університет імені Т.Г. Шевченка;6.3200;5.9500;4.0100;16.2800
159;Київський університет права Національної академії наук України;5.7500;4.4100;5.9500;16.1000
160;Відкритий міжнародний університет розвитку людини «Україна»;5.2300;6.5900;4.2400;16.0600
161;Дрогобицький державний педагогічний університет імені Івана Франка;6.0900;5.4700;4.4500;16.0000
162;Вінницький державний педагогічний університет імені Михайла Коцюбинського;6.0100;5.3900;4.0100;15.4200
163;Донбаський державний педагогічний університет;5.0100;5.3700;4.9500;15.3300
164;Академія праці. соціальних відносин і туризму;5.6900;5.1500;4.3800;15.2300
165;Міжнародний науково-технічний університет;5.2300;5.5000;4.4700;15.2000
166;Київський університет туризму. економіки і права;5.2700;4.5900;5.1500;15.0000
167;Львівський національний університет ветеринарної медицини та біотехнологій імені С.З. Гжицького;5.2300;5.3900;4.2900;14.9100
168;Дніпродзержинський державний технічний університет;5.1700;4.1500;5.5300;14.8600
169;Мелітопольський державний педагогічний університет імені Богдана Хмельницького;4.8200;3.9500;6.0400;14.8100
170;Львівська національна академія мистецтв;5.2400;6.4000;3.1500;14.7800
171;Мукачівський державний університет;5.7200;4.5500;4.4300;14.7000
172;Донбаська національна академія будівництва і архітектури;4.2300;3.9000;6.5200;14.6500
173;Харківський гуманітарний університет Народна українська академія;5.2100;4.5700;4.8300;14.6100
174;Сумський державний педагогічний університет ім. А.С. Макаренка;5.1800;5.5400;3.8100;14.5300
175;Рівненський державний гуманітарний університет;5.0900;4.9700;4.3900;14.4600
176;Київська державна академія водного транспорту імені гетьмана Петра Конашевича-Сагайдачного;5.6800;4.2400;4.3500;14.2800
177;Полтавський національний педагогічний університет імені В.Г. Короленка;5.3800;4.3400;4.4900;14.2100
178;Ніжинський державний університет імені Миколи Гоголя;4.7600;4.1000;5.2900;14.1500
179;Харківська державна академія дизайну і мистецтв;4.9700;4.0500;5.0900;14.1100
180;Державний економіко-технологічний університет транспорту;4.8700;4.9100;4.2500;14.0300
181;Глухівський національний педагогічний університет імені Олександра Довженка;4.8000;4.8900;4.2400;13.9300
182;Херсонська державна морська академія;4.8600;4.0600;4.4800;13.4000
183;Буковинський державний фінансово-економічний університет;4.2000;5.0700;4.0700;13.3500
184;Дніпропетровський державний університет внутрішніх справ;4.9200;4.7700;3.5800;13.2700
185;Хмельницька гуманітарно-педагогічна академія;4.3000;5.4100;3.5000;13.2100
186;Харківська гуманітарно-педагогічна академія;4.9500;4.1400;3.8700;12.9500
187;Одеський державний аграрний університет;4.8300;4.0800;3.9400;12.8500
188;Дніпропетровський державний інститут фізичної культури і спорту;4.7500;4.0300;3.8100;12.5900
189;Кременецька обласна гуманітарно-педагогічна академія ім. Тараса Шевченка;4.8600;3.4200;3.9800;12.2600
190;Європейський університет;4.6000;3.6800;3.8600;12.1400
191;Одеська державна академія технічного регулювання та якості;4.5300;4.4700;3.0000;12.0000
192;Львівський інститут економіки і туризму;4.5100;3.5100;3.8800;11.9100
193;Університет сучасних знань;4.0400;3.7800;4.0300;11.8500
194;Закарпатський угорський інститут імені Ференца Ракоці ІІ;3.8600;4.0000;3.8500;11.7000
195;Івано-Франківський університет права імені Короля Данила Галицького;3.9800;3.8700;3.7600;11.6100
196;Бердянський університет менеджменту і бізнесу;4.1400;3.5200;3.8500;11.5100
197;Ізмаїльський державний гуманітарний університет;4.2300;3.5200;3.6500;11.4100
198;Запорізький інститут економіки та інформаційних технологій;4.5800;4.4500;2.0800;11.1200
199;Дніпропетровський гуманітарний університет;4.1200;3.3900;3.2200;10.7300
200;Інститут підприємництва Стратегія;3.1000;3.6300;3.8400;10.5700
