№;НЗ;Оцінка якості науково-педагогічного потенціалу Iнп;Оцінка якості навчання IН;Оцінка міжнародного визнання IМВ;Оцінка інтегрального показника діяльності ВНЗ. IЗ
1;Національний технічний університет України Київський політехнічний інститут;37.1585;24.2734;24.3899;85.8217
2;Київський національний університет імені Тараса Шевченка;37.6987;20.8091;23.1903;81.6981
3;Харківський національний університет імені В.Н. Каразіна;19.7239;14.6312;15.0583;49.4133
4;Національний технічний університет Харківський політехнічний інститут;18.1924;9.4454;18.1185;45.7564
5;Національний університет Львівська політехніка;10.0741;15.5719;20.0026;45.6486
6;Національний гірничий університет;20.2374;9.5527;14.8808;44.6709
7;Національний медичний університет імені О.О. Богомольця;28.0154;7.3431;9.2479;44.6064
8;Національний університет Києво-Могилянська академія;13.0302;17.3656;14.1555;44.5513
9;Львівський національний університет імені Івана Франка;10.4769;14.6627;18.2581;43.3977
10;Національний університет біоресурсів і природокористування України;16.3164;14.8704;11.0002;42.1870
11;Дніпропетровський національний університет;15.3131;11.8010;14.4693;41.5833
12;Національна металургійна академія України;15.9860;8.4150;16.6363;41.0374
13;Київський національний економічний університет імені Вадима Гетьмана;9.9781;18.2380;12.5472;40.7633
14;Національний аерокосмічний університет ім. М.Є. Жуковського Харківський авіаційний інститут;13.4021;8.6779;18.3785;40.4585
15;Сумський державний університет;8.9940;8.0488;22.0669;39.1097
16;Національний юридичний університет імені Ярослава Мудрого;14.8934;10.4281;11.0470;36.3685
17;Одеський національний університет імені І.І. Мечникова;9.1069;7.6657;19.1155;35.8882
18;Національний педагогічний університет імені М.П. Драгоманова;10.1302;11.0492;14.6689;35.8483
19;Національний авіаційний університет;11.6125;12.6116;11.3758;35.5999
20;Національний університет харчових технологій;15.9336;9.3635;10.1601;35.4571
21;Харківський національний університет радіоелектроніки;13.0428;7.2107;15.0624;35.3158
22;Національний фармацевтичний університет;15.1651;11.0470;8.8813;35.0935
23;Донецький національний технічний університет;10.0173;9.7111;14.6733;34.4017
24;Чернівецький національний університет імені Юрія Федьковича;6.9056;10.1896;17.1798;34.2750
25;Вінницький національний технічний університет;16.1877;6.8198;10.0225;33.0301
26;Одеський національний політехнічний університет;7.1638;7.2219;18.2970;32.6827
27;Київський національний університет технологій та дизайну;11.5730;10.4630;10.3448;32.3807
28;Київський національний торговельно-економічний університет;8.1143;15.4430;8.5030;32.0603
29;Вінницький національний медичний університет ім. М.І. Пирогова;16.1041;5.4218;10.3776;31.9034
30;Івано-Франківський національний технічний університет нафти і газу;9.0402;6.7942;16.0206;31.8550
31;Одеський національний економічний університет;7.6792;14.3631;9.4046;31.4469
32;Донецький національний університет;7.1936;9.3306;14.6578;31.1819
33;Національний лісотехнічний університет України;19.5965;4.8183;6.1914;30.6062
34;Тернопільський національний технічний університет імені Івана Пулюя;10.3766;8.2422;11.5312;30.1499
35;Ужгородський національний університет;10.1754;8.3111;11.3348;29.8212
36;Харківський національний медичний університет;13.0983;7.2014;9.0790;29.3787
37;Східноукраїнський національний університет імені Володимира Даля;6.3276;6.9096;15.9084;29.1456
38;Прикарпатський національний університет імені Василя Стефаника;8.4618;7.5422;12.8261;28.8301
39;Національний університет Одеська юридична академія;7.8791;9.0148;11.2800;28.1740
40;Одеська національна академія харчових технологій;12.4256;5.9938;9.6232;28.0425
41;Тернопільський національний економічний університет;5.1269;13.5107;9.2211;27.8587
42;Одеський національний медичний університет;13.2723;6.4314;8.0970;27.8007
43;Хмельницький національний університет;6.2050;4.7154;16.5067;27.4271
44;Чорноморський державний університет імені Петра Могили;4.6652;10.1112;12.4096;27.1860
45;Університет банківської справи НБУ;5.6789;13.8472;7.1581;26.6842
46;Київський національний університет будівництва і архітектури;10.5391;7.5979;8.2960;26.4330
47;Запорізький національний технічний університет;7.0240;7.3375;12.0115;26.3730
48;Харківський національний економічний університет імені Семена Кузнеця;6.7376;8.4200;11.0911;26.2487
49;Луганський національний університет імені Тараса Шевченка;7.2292;10.4631;8.2090;25.9014
50;Південноукраїнський національний педагогічний університет імені К.Д. Ушинського;8.7199;6.6807;10.4216;25.8222
